boxing
Ireland’s Michael Lowry marked a milestone occasion in style (Brian Lawless/PA),https://static.independent.co.uk/2022/02/28/09/3c9d356cd3fa727c7c9b3ec0727656d9Y29udGVudHNlYXJjaGFwaSwxNjQ2MDg4Mzc1-2.65571698.jpg?quality=75&width=982&height=726&auto=webp

cricket
Sonny Ramadhin has died aged 92 (PA),https://static.independent.co.uk/2022/02/27/15/62eeb05683d2ddf3252e6ae90c5a7750Y29udGVudHNlYXJjaGFwaSwxNjQ2MDYxNzc3-2.1821812.jpg?quality=75&width=982&height=726&auto=webp
Paul Collingwood has been announced as interim replacement for Chris Silverwood (Nigel French/PA),https://static.independent.co.uk/2022/02/27/00/929d7b576e3d4b94c40dd27fd8336df4Y29udGVudHNlYXJjaGFwaSwxNjQ2MDA1MDI0-2.61998312.jpg?quality=50&width=640&auto=webp
Paul Collingwood has been announced as interim replacement for Chris Silverwood (Nigel French/PA),https://static.independent.co.uk/2022/02/27/00/929d7b576e3d4b94c40dd27fd8336df4Y29udGVudHNlYXJjaGFwaSwxNjQ2MDA1MDI0-2.61998312.jpg?quality=75&width=982&height=726&auto=webp
<p>Ben Foakes is hoping it is third time lucky for his Test career after winning eight caps over the last three-and-a-half years</p>,https://static.independent.co.uk/2022/02/26/18/f7b22f4c13ca87108344224d03f21c8bY29udGVudHNlYXJjaGFwaSwxNjQ1OTQ3OTM1-2.37246667.jpg?quality=75&width=982&height=726&auto=webp
None,https://static.independent.co.uk/2022/02/26/13/GettyImages-1372267479.jpg?quality=75&width=982&height=726&auto=webp
Former Australia cricketer Shane Warne has criticised Russia’s ‘unprovoked’ invasion of Ukraine as he sent ‘lots of love to my Ukrainian mate’ Andriy Shevchenko (Nick Potts/PA),https://static.independent.co.uk/2022/02/26/02/26015436-f9d79727-b93e-4799-9790-01e7f88cb636.jpg?quality=75&width=982&height=726&auto=webp
<p>Heather Knight is pleased with the way her players have moved on from their Ashes defeat</p>,https://static.independent.co.uk/2022/02/25/12/1663666f677814dd745984d9671b20deY29udGVudHNlYXJjaGFwaSwxNjQ1ODc0NTYz-2.55764495.jpg?quality=75&width=982&height=726&auto=webp
None,https://static.independent.co.uk/2022/02/23/19/newFile-1.jpg?quality=75&width=982&height=726&auto=webp

